4020.1s 172 Applying LS move: opt=2exchange, delta=-0.3859, current_len=4
4020.1s 173 Stagnation detected. Diversifying 40% of non-elite population.
4020.1s 174 Gen: 850. a 0.3020, p_hybrid 0.1500, accepted 26. Avg 23058.9493, Best 2048.0833, Worst 45030.6118, Best vehicles 1
4020.1s 175 Gen 850 done, no improvement for 0 gens, already consumed 525 sec
4020.1s 176 Periodic deep local search on global best.
4020.1s 177 Applying LS move: opt=2exchange, delta=-55.1879, current_len=4
4020.1s 178 Applying LS move: opt=2opt*, delta=-52.6957, current_len=4
4020.1s 179 Applying LS move: opt=2exchange, delta=-52.3008, current_len=4
4020.1s 180 Applying LS move: opt=2exchange, delta=-34.1292, current_len=4
4020.1s 181 Applying LS move: opt=2opt*, delta=-33.8868, current_len=4
4020.1s 182 Applying LS move: opt=2exchange, delta=-33.1147, current_len=4
4020.1s 183 Applying LS move: opt=2opt*, delta=-31.9773, current_len=4
4020.1s 184 Applying LS move: opt=2opt*, delta=-25.9508, current_len=4
4020.1s 185 Applying LS move: opt=2exchange, delta=-23.2299, current_len=4
4020.1s 186 Applying LS move: opt=oropt_single, delta=-39.1414, current_len=4
4020.1s 187 Applying LS move: opt=2opt*, delta=-21.1720, current_len=4
4020.1s 188 Applying LS move: opt=2exchange, delta=-20.0025, current_len=4
4020.1s 189 Applying LS move: opt=2opt*, delta=-18.2742, current_len=4
4020.1s 190 Applying LS move: opt=oropt_single, delta=-23.9668, current_len=4
4020.1s 191 Applying LS move: opt=2exchange, delta=-16.4265, current_len=4
4020.1s 192 Applying LS move: opt=2opt*, delta=-26.5793, current_len=4
4020.1s 193 Applying LS move: opt=2opt*, delta=-24.8970, current_len=4
4020.1s 194 Applying LS move: opt=2exchange, delta=-22.0354, current_len=4
4020.1s 195 Applying LS move: opt=2opt*, delta=-15.4670, current_len=4
4020.1s 196 Applying LS move: opt=oropt_single, delta=-37.6925, current_len=4
4020.1s 197 Applying LS move: opt=2opt*, delta=-14.0192, current_len=4
4020.1s 198 Applying LS move: opt=oropt_single, delta=-13.9956, current_len=4
4020.1s 199 Applying LS move: opt=2exchange, delta=-13.3711, current_len=4
4020.1s 200 Applying LS move: opt=oropt_single, delta=-11.9852, current_len=4
4020.1s 201 Applying LS move: opt=2exchange, delta=-9.6483, current_len=4
4020.4s 202 Applying LS move: opt=oropt_single, delta=-9.4303, current_len=4
4020.4s 203 Applying LS move: opt=2opt*, delta=-23.9279, current_len=4
4020.4s 204 Applying LS move: opt=oropt_single, delta=-9.7845, current_len=4
4020.4s 205 Applying LS move: opt=oropt_single, delta=-9.1321, current_len=4
4020.4s 206 Applying LS move: opt=2opt, delta=-9.1912, current_len=4
4020.4s 207 Applying LS move: opt=2opt*, delta=-8.6001, current_len=4
4020.4s 208 Applying LS move: opt=2opt*, delta=-12.7723, current_len=4
4020.4s 209 Applying LS move: opt=oropt_single, delta=-11.2360, current_len=4
4020.4s 210 Applying LS move: opt=oropt_single, delta=-8.1206, current_len=4
4020.4s 211 Applying LS move: opt=oropt_single, delta=-7.0521, current_len=4
4020.4s 212 Applying LS move: opt=2opt*, delta=-6.3280, current_len=4
4020.4s 213 Applying LS move: opt=2exchange, delta=-19.3138, current_len=4
4020.4s 214 Applying LS move: opt=2opt, delta=-5.3209, current_len=4
4020.4s 215 Applying LS move: opt=2opt*, delta=-5.1103, current_len=4
4020.5s 216 Applying LS move: opt=oropt_single, delta=-4.9673, current_len=4
4020.5s 217 Applying LS move: opt=2opt, delta=-7.1235, current_len=4
4020.5s 218 Applying LS move: opt=oropt_single, delta=-3.1924, current_len=4
4020.5s 219 Applying LS move: opt=2exchange, delta=-2.3735, current_len=4
4020.5s 220 Applying LS move: opt=2opt, delta=-5.7351, current_len=4
4020.5s 221 Applying LS move: opt=2exchange, delta=-4.7800, current_len=4
4020.5s 222 Applying LS move: opt=oropt_single, delta=-3.8850, current_len=4
4020.5s 223 Applying LS move: opt=2opt*, delta=-2.3239, current_len=4
4020.5s 224 Applying LS move: opt=oropt_single, delta=-7.4164, current_len=4
4020.5s 225 Applying LS move: opt=oropt_single, delta=-6.2208, current_len=4
4020.5s 226 Applying LS move: opt=2opt*, delta=-5.5839, current_len=4
4020.5s 227 Applying LS move: opt=oropt_single, delta=-7.7330, current_len=4
4020.5s 228 Applying LS move: opt=2exchange, delta=-3.1375, current_len=4
4020.5s 229 Applying LS move: opt=2opt*, delta=-2.5318, current_len=4
4020.5s 230 Applying LS move: opt=oropt_single, delta=-2.7650, current_len=4
4020.5s 231 Applying LS move: opt=oropt_single, delta=-3.1714, current_len=4
